1,1,東方projectの最高難易度、正しいものを選びなさい。,,ルナティック,ナイトメア,モストダイ,ヘル,ルナティック。低い順からイージー、ノーマル、ハード、ルナティックの順番。,
1,1,東方projectの主人公の一人である、博麗霊夢の能力は何？,,空を飛ぶ程度の能力,式神を操る程度の能力,魔法を使う程度の能力,境界を操る程度の能力,空を飛ぶ程度の能力。式神を操るのは、八雲藍。魔法を使うのは、霧雨魔理沙。境界を操るのは、八雲紫。,
1,1,東方projectのキャラの中で、⑨（バカ）の愛称で親しまれているキャラクターは誰？,,チルノ,ミスティア・ローレライ,上白沢慧音,八坂神奈子,チルノ。ちなみに原作者公認である。,
1,1,フランドール・スカーレットのテーマ曲は何？,,U.N.オーエンは彼女なのか？,亡き王女のためのセプテット,妖魔夜行,ツェペシュの幼き末裔,U.N.オーエンは彼女なのか？。一度聴いてみることをおすすめする。,
1,1,人形師アリス・マーガトロイドの人形の名前で正しくないものを選べ。,,コッペリア,上海,蓬莱,ゴリアテ,コッペリア。アリスが作成したと思われる人形は、上海、蓬莱、フランス、オランダ、チベット、京都、ロンドン、ロシア、オルレアン、ゴリアテなどである。,
1,1,メルラン？,,プリズムリバー,メランコリー,ナイトバグ,ホワイトロック,プリズムリバー。他にルナサ、リリカの姉妹がいる。三人合わせてプリズムリバー三姉妹と言われている。余談ではあるが、設定上だけの存在で末の妹としてレイラという少女がいる。,
1,1,紅魔館のメイド長を務める、月時計ルナダイヤルでお馴染みの人物は？,,魂魄妖夢,紅美鈴,十六夜咲夜,小野塚小町,十六夜咲夜。完全で瀟洒な従者といったらこの人をおいて他にはいない。,
1,1,東方Vocal、幽閉サテライトさんの曲を選びなさい。,,感情ケミストリー,BadApple!,チルノのパーフェクト算数教室,彼女が一番少女なのか？,感情ケミストリー。名曲なのでおすすめ、勿論、他の選択肢の曲もおすすめ。,
1,1,東方原作者、ZUN氏は辛党で大の酒好きですが、特に好きなお酒は何でしょうか？,,ビール,ワイン,日本酒,カクテル,ビール。無類のビール好き、ビール党。,
1,1,東方projectの舞台となっている場所の名前は？,,幻想郷,烏森,尸魂界,羽生蛇村,幻想郷。東方projectの基本中の基本。,
1,2,紅魔郷にて、一面ボスルーミアのセリフを答えなさい。,,「聖者は十字架に磔られました」っていっているように見える？,巫女は食べてもいい人類だって言い伝えが．．．,こんなに月も紅いから　本気で殺すわよ,あなたが、コンティニュー出来ないのさ！,「聖者は十字架に磔られました」っていっているように見える？。ちなみに主人公の一人である霧雨魔理沙はこれに対して、「人類は十進法を採用しました」って見えるな、と返した。,
1,2,物部布都は何でしょう？,,尸解仙（しかいせん）,吸血鬼,キョンシー,魔法使い,尸解仙。皿を身代わりにして尸解仙になった。……どういうことなの？,
1,2,( ﾟ∀ﾟ)o彡゜ ← どういう意味？,,八意永琳,上白沢慧音,雲山,聖白蓮,八意永琳。えーりんえーりんという掛け声と共に、腕を振り上げたり振り下ろしたりする動作を指す。東方Vocalビートまりおさんの楽曲『Help me, ERINNNNNN!!』の歌詞にて登場。,
1,2,東方projectの二次創作で、東方M-1グランプリというものがあります。その作品内にて、紅魔館は何回燃えたのでしょうか？,,二回,一回,三回,そもそも燃えたことがない。,二回。第一回目と、第六回目での漫才の時に、フランドールの手によって燃やされました。,
1,2,八雲藍の好物は何？,,油揚げ,唐揚げ,かき揚げ,またたび,油揚げ。狐と行ったら油揚げでしょう。,
1,2,東方風神録にて、二面ステージの道中BGMは何でしょうか？,,厄神様の通り道 ～ Dark Road,運命のダークサイド,フォールオブフォール ～ 秋めく滝,神々が恋した幻想郷,厄神様の通り道 ～ Dark Road。ボス戦のBGM『運命のダークサイド』も素晴らしいぞ。,
1,2,東方地霊殿に登場する、六面ボス霊烏路空が取り込んだのは？,,ヤタガラス,カグツチ,タケミカヅチ,アマテラス,ヤタガラス。元々は地獄鴉という妖怪であったが、何やかんやあって、神様であるヤタガラスをその身に降ろす事になってしまった。核融合を操る程度の能力を持つ。……ヤベェ。,
1,2,魔理沙の使う道具にミニ八卦炉がありますが、これの製作者は誰？,,森近霖之助,八雲紫,アリス・マーガトロイド,そもそも本人の自作,森近霖之助。実家を飛び出して一人暮らしをしようとする魔理沙を心配して作った。伝説的な金属緋々色金を使用している特別性である。,
1,2,東方永夜抄にて、博麗霊夢のラストワードは何？,,夢想天生,夢想封印,二重大結界,陰陽鬼神玉,夢想天生。無敵モードになる。元ネタは北斗の拳の奥義、無想転生らしい。,
1,2,東方projectの舞台である幻想郷のモデルである、と言われている土地は何処にある？,,長野,青森,福岡,茨城,長野。長野県奥地にある、青鬼集落と言われている場所がモデルと言われている。浮世離れした神秘的な場所で、自然に囲まれた集落は、いるだけで心が安らぎ、本当に幻想郷に迷い込んでしまったのではないのか？ と思わせてくれる。,
