パターンID,難易度(1 or 2),問題文,データファイル名,選択肢A(正解),選択肢B(不正解),選択肢C(不正解),選択肢D(不正解),解説,解説用データファイル名
1,1,チームの出場人数が一番多いスポーツは?,,サッカー,バスケ,野球,バレーボール,,
1,1,石川佳純、張本智和は何のスポーツ選手でしょう？,,卓球,野球,水泳,クリケット,,
1,1,世界記録９秒５８を１００メトル走でだしたのは？,,ボルト,ジャスティンガトリン,ベンジョンソン,カールルイス,,
1,1,カーリングの競技を行うリンクの長さは何メートル？,,４５メートル,60メートル,450メートル,600メートル,,
1,1,駅伝でつなぐものといえば？,,たすき,ぜっけん,きずな,バトン,,
1,1,トライアスロンで最後にする競技は？,,長距離走,水泳,自転車,走り幅跳び,,
1,1,侍ジャパンはなんのスポーツ？,,野球,バレーボール,卓球,バスケ,,
1,1,eスポーツは何をするスポーツ？,,TVゲーム,勉強,カルタ,腕立て伏せ,,
1,1,漢字で羽球と各スポーツは？,,バトミントン,卓球,バスケ,テニス,,
1,1,アメリカで４大スポーツと言われているのは、野球、バスケ、アイスホッケー、残る一つは？,,アメリカンフットボール,ボクシング,サッカー,水泳,,
1,2,一度も不参加せずに最初からオリンピックに参加している国はどこでしょう？,,ギリシャ,中国,スイス,アメリカ,,
1,2,東京オリンピックが開催されたのは1964年でしたがその前に開催されるはずでした、1964年に変更された理由は何でしょう？,,戦争が勃発してそれどころではなかった,日本は経済的に困窮していて、資金がなかったから。,外国からの人々を受け入れる施設の状態が悪かったから,外国人差別がひどかったから,,
1,2,以前オリンピックでの正式種目は何でしょう？,,綱引き,騎馬戦,組体操,二人三脚,,
1,2,ボールを前に投げると反則になるスポーツはどれでしょう？,,ラグビー,サッカー,アメフト,水球,,
1,2,20世紀で最初にオリンピックが開催された都市はどこでしょう？,,セントルイス,アトランタ,アテネ,シドニー,,
1,2,ロシアワールドカップで大会MVPになった選手は誰でしょう？,,モドリッチ,メッシー,ロナウド,ムバッペ,,
1,2,Tリーグは何のスポーツリーグでしょう？,,卓球,バスケ,バトミントン,テニス,,
1,2,ボクシング、フロイドメイウェザー選手は何階級制覇したでしょう？,,５階級,3階級,4階級,7階級,,
1,2,バスケのレブロンジェイムズ選手が生涯契約したブランドはどこでしょう？,,ナイキ,アンダーアーマ,アディダス,ニューバランス,,
1,2,WBSSとは何の大会でしょう？,,ボクシング,バスケ,フェンシング,柔道,,
