パターンID,難易度(1 or 2),問題文,データファイル名,選択肢A(正解),選択肢B(不正解),選択肢C(不正解),選択肢D(不正解),解説,解説用データファイル名
1,1,国産二輪メーカーではないのはどれか,,TRIUMPH,HONDA,YAMAHA,SUZUKI,,
1,1,公道で使用してはいけないタイヤはどれか,,スリックタイヤ,スポーツタイヤ,ハイグリップタイヤ,ツーリングタイヤ,,
1,1,日本国内において二輪を運転する際に着用義務はあるのはどれか,,ヘルメット,サングラス,グローブ,プロテクター,,
1,1,速度制限が無い区域がある高速道路の国はどこか,,ドイツ,フランス,イギリス,スペイン,,
1,1,国産二輪メーカーはどれか,,Kawasaki,SHOEI,Arai,Hyod,,
1,1,二輪のロードレースはどれか,,MotoGP,F1,INDY500,WRC,,
1,1,HONDAの創立者は誰か,,本田総一朗,川崎正蔵,山葉寅楠,鈴木道雄,,
1,1,SUZUKIのバイクではないのはどれか,,YZF-R1,GSXR-1000R,GSX1100S KATANA,Bandit1250,,
1,1,ネイキッドタイプのバイクはどれか,,CB400SF,ZX-10R,S1000RR,CBR-1000RR,,
1,1,普通自動二輪免許は何ccまで運転できるか,,400cc,300cc,450cc,500cc,,
1,2,YAMAHA YZF-R1搭載されてるエンジン特徴に合っているものはどれか,,クロスプレーンエンジン,V4エンジン,水平対向４気筒エンジン,並列二気筒エンジン,,
1,2,MT-09のエンジンはどれか,,3気筒エンジン,2気筒エンジン,単気筒エンジン,4気筒エンジン,,
1,2,Ducatiのメインカラーはどれか,,赤,緑,青,白,,
1,2,スロットル・バイ・ワイヤシステムを採用しているバイクはどれか,,CBR250RR,CB400SF,CB250R,CB400SB,,
1,2,CBR1000RR SPに採用されているサスペンションのメーカーはどれか,,OHLINS,YSS,SHOWA,QUANTUM,,
1,2,ヘルメット PISTA GP Rを製造しているメーカーはどれか,,AGV,SHOEI,Arai,SIMPSON,,
1,2,ライディングウェアメーカー、Alpinestarsの本社はどこか,,イタリア　アゾロ,フランス　パリ,ドイツ　アルトナ,スペイン　アルバセーテ,,
1,2,YAMAHA発動機が開発したAI搭載型二輪の名前は,,MOTOROiD,MOTOROID,MotoRoid,MotoROID,,
1,2,Motogp Ducatiチームに所属している選手はどれか,,ホルヘ・ロレンソ,マルク・マルケス,ダニ・ペドロサ,バレンティーノ・ロッシ,,
1,2,DUNLOP製の二輪用タイヤはどれか,,a14,BATTLAX ,SPORTEC M7 RR,,,
