パターンID,難易度(1 or 2),問題文,データファイル名,選択肢A(正解),選択肢B(不正解),選択肢C(不正解),選択肢D(不正解),解説,解説用データファイル名
1,1,ゲーム内の1日は現実世界でどれくらいの時間ですか,,20分,30分,60分,1440分,マインクラフトではtickという単位で時間を管理していて、現実の1秒間に20tick(1tick=0.05秒)で、1日を24000tickと決めているため、24000tickは1200秒(20分)となる,
1,1,次のうち、かまどの燃料として利用できるアイテムはどれですか,,弓,矢,糸,紙,弓1つで鉱石を1.5個分精錬できる。,
1,1,落下ダメージは高さ何ブロック以上から発生しますか,,3.5,3,4,4.5,3.5ブロックから1ブロック毎に1ダメージ(ハート0.5)のダメージが発生する。,
3,1,羊のカラーバリエーションのうち、自然にスポーンしないのはどの色ですか?,s06019_sheep.png,緑色,桃色,黒色,茶色,自然スポーンする羊の色は白色と黒色、灰色、薄灰色、茶色、桃色のみ。それ以外は染料で染める必要がある。,
1,1,マインクラフトのシリーズ売り上げは,,約1億5400万本,約1億7000万本,約1億本,約8300万本,最も売れたゲーム第2位の約1億5400万本。ちなみに1位はテトリスで1億7000万本。,
1,1,ストレイがスポーンする可能性のあるバイオームは,,雪のツンドラ,山岳,タイガ,キノコ島,ストレイはスケルトンの亜種。雪のツンドラ、氷樹、凍った川、凍った海、凍った深海でスポーンする。,
3,1,アイアンゴーレム、スノウゴーレムを召喚するのに必要な共通のブロックは,s06019_golem.png,くり抜かれたカボチャ,カボチャ,鉄ブロック,雪ブロック,ゴーレムの頭部としてくり抜かれたカボチャが必要。1.13からカボチャは顔のない本来のカボチャとなり頭部として使えなくなった。,
3,1,ウィザーを召喚するのに必要なブロックは,s06019_wither.png,ソウルサンド,ネザーラック,溶岩ブロック,黒曜石,ウィザーを召喚するにはソウルサンドをT字に並べて、3つのウィザースケルトンの頭を設置する,
1,1,エンダーパールを投げると、稀にスポーンするモブは,,エンダーマイト,エンダーマン,シュルカー,ヴェックス,エンダーパールを投げたときの5％の確率でエンダーマイトがスポーンする。,
3,1,ヴェックスを召喚するモブは,s06019_vex.png,エヴォーカー,ヴィンディケーター,イリュージョナー,ウィッチ,エヴォーカーがヴェックスを召喚する。ヴィンディケーターは斧を持って攻撃してくるモブ。イリュージョナーは現時点では未使用モブ。,
1,2,黒曜石と同等の爆破耐性を持つブロックは,,金床,エンドストーン,鉄ブロック,ダイヤブロック,黒曜石の爆破耐性は2000で、金床・エンチャントテーブルが同じく2000。エンダーチェストは半分の1000。,
1,2,山岳バイオームでは高さいくつから雪が降りますか,,約95,約90,約100,降らない,,
1,2,レッドストーンの動作(更新)は1秒間に何回発生しますか,,10回,20回,30回,60回,,
1,2,防具にダメージ軽減IVのエンチャントを付ける場合、何箇所で最大の効果が得られるか,,4,1,2,3,,
1,2,防具に爆発耐性IVのエンチャントを付ける場合、何箇所で最大の効果が得られるか,,3,1,2,4,正確には、爆発耐性IVが2箇所に爆発耐性IIが1箇所で最大効果が得られる,
1,2,虫特攻のエンチャント効果が発揮されるモンスターは,,シルバーフィッシュ,ブレイズ,ファントム,ヴェックス,,
1,2,司書との交易で「修繕」のエンチャント本を入手するのに必要なエメラルドの最小数はいくら,,5,1,3,7,,
1,2,進捗「真面目な献身」は何を行うと達成するか,,ダイヤのクワを壊れるまで使い切る,36種類のバイオームを訪れる,村人ゾンビを治療する,ガストをオーバーワールドで殺す。,,
1,2,クリエイティブモードで取り出すことが出来ないアイテムはどれか,,花火,スポーンエッグ,エンドポータルフレーム,岩盤,,
1,2,ネザーウォートを使用しないで醸造できるポーションは,,弱化,毒,タートルマスター,低速落下,,
