パターンID,難易度(1 or 2),問題文,データファイル名,選択肢A(正解),選択肢B(不正解),選択肢C(不正解),選択肢D(不正解),解説,解説用データファイル名
1,1,「機動戦士ガンダム」作中において、主人公のライバルであるシャア・アズナブルが搭乗しなかったMSがはどれか,,ドム,ゲルググ,ズゴック,ザク,,
1,1,「機動戦士ガンダムSEED」作中において、ストライクが装備しなかったストライカーパックはどれか,,I.W.S.P,エールストライカー,ソードストライカー,ランチャーストライカー,,
1,1,「機動戦士ガンダムSEED DESTINY」作中において、シリーズ第1作である「機動戦士ガンダム」に登場するMSをオマージュしたMSが登場しますが、次のうち登場しなかったMSはどれか,,ゲルググ,ザク,グフ,ドム,ザク(ウォーリア/ファントム)、グフ(イグナイテッド)、ドム(トルーパー),
1,1,「機動戦士ガンダム00」作中において、トランザムシステムを使用することがなかった機体は次のうちどれ,,ガンダムデュナメス,ガンダムエクシア,ガンダムキュリオス,ガンダムヴァーチェ,スペシャルエディションにて新規カットとして使用シーンが追加,
1,1,「劇場版 機動戦士ガンダム00 -A wakening of the Trailblazer-」においてデカルト・シャーマンが搭乗するモビルアーマーは次のうちどれか,,ガデラーザ,トリロバイト,レグナント,アルヴァトーレ,,
1,1,「超時空要塞マクロス」に登場する可変戦闘機「VF-1バルキリー」のデザインモチーフになった現実世界の戦闘機は次のうちどれか,,F-14,F-15,Su-27,EF-2000,,
1,1,「マクロスF」における主人公の搭乗する機体で、現実世界の戦闘機であるSu-27とF-14をモチーフにデザインされた機体は次のうちどれか,,VF-25,VF-171,VF-27,YF-29,,
1,1,「ブレイクブレイド」作中において主人公ライガットが搭乗する動力を搭乗者の魔力に依存しないゴゥレムは次のうちどれか,,デルフィング,エルテーミス,ファブニル,ヒュケリオン,,
1,1,「ARMORED CORE for Answer」においてオープニングムービーに登場し、本編においてはカラードランク9のリンクスが搭乗するラインアーク所属のネクストは次のうちどれか,,ホワイト・グリント,ステイシス,アンサング,ノブリス・オブリージュ,,
1,1,「フルメタル・パニック！」において主人公が最初に搭乗するラムダ・ドライバ搭載型ASは次のうちどれか,,アーバレスト,コダール,ガーンズバック,ベヘモス,,
1,2,次のうち、「機動戦士ガンダム ガンダムVS.ガンダムNEXT PLUS」において使用できない機体はどれか,,ダブルオークアンタ,クシャトリヤ,ガンダムヴァーチェ,アカツキ,,
1,2,次のうち、宇宙世紀でない作品からは初のMGキット化を遂げた機体はどれか,,GNX-603T,ZGMF-1017,RGE-G2100,OZ-06MS,,
1,2,「機動戦士ガンダム MSV-R ジョニー・ライデンの帰還」において主人公の上司であるフーバーが搭乗した機体は次のうちどれか,,RGM-79KC,RGM-79KC,RGM-79SC,RGM-79V,,
1,2,次のうち「フレームアームズ」シリーズにおいて月面側が開発、運用したと設定されている機体はどれか,,NSG-X1,YSX-24RD/NE,EXF-10/52,LX-R01J,,
1,2,次のうち「機動戦士ガンダム ガンダムVS.ガンダムNEXT PLUS」と「機動戦士ガンダム EXTREME VS. MAXI BOOST ON」において機体コストに違いがあるものはどれか,,フリーダムガンダム,ユニコーンガンダム,ガンダムエクシア,ウイングガンダムゼロ,,
1,2,次の「マクロスΔ」に登場する機体のうち、バンダイからプラモデルが販売されなかったものはどれか,,VF-31A,VF-31F,Sv-262Hs,SV-262Ba,,
1,2,次のうち「機動戦士ガンダム ギレン暗殺計画」に登場しなかったMSはどれか,,MS-06J,MS-06FZ,MS-07B-3,MS-17,,
1,2,次のうち、ランナーの枚数が最も多いキットはどれか,,HGCE ストライクフリーダムガンダム,HGUC ユニコーンガンダム(デストロイモード),HG ガンダムバルバトスルプスレクス,MG  ボール(Ver.Ka),,
1,2,次のうち、定価が最も高額なキットはどれか,,RG フルアーマーユニコーンガンダム,RG サザビー,MG ジャスティスガンダム,MG デスティニーガンダム,,
1,2,次のうち、戦場の絆(REV2.x)時点において機体カテゴリが違うMSがはどれか,,ジム(指揮官機),ジム,ジム(バズーカラック仕様),ジム(WD隊),,
