パターンID,難易度(1 or 2),問題文,データファイル名,選択肢A(正解),選択肢B(不正解),選択肢C(不正解),選択肢D(不正解),解説,解説用データファイル名
1,1,曲名当て：♬栄光に向って走るあの列車に乗って行こう,,TRAIN-TRAIN,Choo Choo TRAIN,TRYIN-TRYIN,TRAIN,歌手：THE BLUE HEARTS(歌い出し),
1,1,曲名当て：♬広い宇宙の数あるひとつ,,小さな恋のうた,あなたに,琉球愛歌,矛盾の上に咲く花,歌手：MONGOL800(歌い出し),
1,1,曲名当て：♬空を押し上げて手を伸ばす君五月のこと,,ハナミズキ,シクラメン,ホウセンカ,ハナツバキ,歌手：一青窈(歌い出し),
1,1,曲名当て：♬卒業してからもう3度目の春,,未来予想図II,未来予想図I,未来予想図III,未来予想図IV,歌手：DREAMS COME TRUE(歌い出し),
1,1,曲名当て：♬雨を避けたロッカールームで君は少しうつむいて,,RUNNER,BUTTER,PITCHER,CATCEER,歌手：爆風スランプ(歌い出し),
1,1,歌詞当て：♬さよならと言った君の(?)はわからないけど,,気持ち,思い,考え,泣き顔,槇原敬之：もう恋なんてしない,
1,1,歌詞当て：♬どんなに離れてても(?)はそばにいるわ,,心,僕,私,思い,ZARD：負けないで,
1,1,歌詞当て：♬島唄よ風に乗り(?)とともに海を渡れ,,鳥,声,涙,私,THE BOOM：島唄,
1,1,歌詞当て：♬君と出逢ってからいくつもの(?)を語り明かした,,夜,時代,日々,思い出,米米CLUB：浪漫飛行,
1,1,"歌詞当て：♬""(?)""の響きだけで強くなれる気がしたよ",,愛してる,好きだよ,月がきれいですね,ラブソング,スピッツ：チェリー,
1,2,私がオバさんになってもより、夏休みに二人して行った場所は？,,サイパン,グアム,ハワイ,沖縄,歌手：森高千里,
1,2,平原綾香のJupiter原曲の作曲家は？,,ホルスト,トルストイ,ベートーヴェン,ドボルザーク,管弦楽組曲[惑星]より第4曲,
1,2,中島みゆきの地上の星より正しくない組み合わせは？,,草原のシリウス,崖の上のジュピター,砂の中の銀河,街角のヴィーナス,正しくは草原のペガサス、水底のシリウス,
1,2,次の中で最も長いタイトルの曲をリリースしたのはどれ？,,BEGIN,AKB48,B'Z,ももいろクローバーZ,100字あるよ(詳しくはググって),
1,2,チェッカーズのジュリアに傷心”傷心”のよみは？,,ハートブレイク,きずごころ,ブレイクハート,スカーハート,♬キャンドル・ライトが〜,
1,2,植村花菜のトイレの神様の曲の長さは？,,9分52秒,9分48秒,10分07秒,8分33秒,♬トイレにはそれはそれはきれいな〜,
1,2,Whiteberryの夏祭りのカバー元のアーティストは？,,JITTERIN'JINN,そもそも原曲,長渕剛,TUBE,君がいた夏は〜♬,
1,2,曲名当て：♬キャンドルライトの中の二人を,,乾杯,くしゃみじゃなくてよかったよ,X'mas in the Bule,クリスマスソング,歌手：長渕剛(二番歌い出し),
1,2,曲名当て：♬不愉快に冷たい壁とか,,月光,混濁,White Breath,ray,歌手：鬼束ちひろ(Dメロ),
1,2,次の内「桜」を歌っているのは誰？,,徳永英明,松田聖子,中島みゆき,秦基博,ちゃんとオリジナル,
